▼一般信用（長期・売短）売建可能銘柄一覧
種類,融資銘柄,銘柄コード,銘柄名称
長期,,3569,セーレン
長期,,3577,東海染工
長期,,3580,小松精練
長期,,3591,ワコールホールディングス
長期,,3593,ホギメディカル
売短,,3606,レナウン
長期,○,3607,クラウディア
長期,,3608,ＴＳＩホールディングス
売短,○,3625,テックファームホールディングス
長期,,3626,ＩＴホールディングス
売短,,3630,電算システム
長期,,3632,グリー
長期,,3635,コーエーテクモホールディングス
長期,,3636,三菱総合研究所
売短,,3639,ボルテージ
売短,,3645,日本メディカルネットコミュニケーションズ
売短,○,3647,ジー・スリーホールディングス
売短,○,3649,ファインデックス
売短,○,3654,ヒト・コミュニケーションズ
売短,,3655,ブレインパッド
売短,○,3656,ＫＬａｂ
長期,,3657,ポールトゥウィン・ピットクルーホールディングス
長期,○,3658,イーブックイニシアティブジャパン
長期,,3659,ネクソン
売短,○,3660,アイスタイル
売短,,3669,モバイルクリエイト
長期,,3673,ブロードリーフ
売短,○,3675,クロス・マーケティンググループ
売短,,3680,ホットリンク
長期,,3683,サイバーリンクス
長期,,3708,特種東海製紙
売短,,3711,創通
売短,○,3727,アプリックスＩＰホールディングス
長期,,3738,ティーガイア
売短,,3744,サイオステクノロジー
長期,,3751,日本アジアグループ
売短,,3758,アエリア
売短,○,3770,ザッパラス
長期,○,3774,インターネットイニシアティブ
売短,,3788,ＧＭＯクラウド
売短,○,3804,システム　ディ
売短,,3807,フィスコ
売短,○,3810,サイバーステップ
売短,○,3816,大和コンピューター
長期,○,3817,ＳＲＡホールディングス
売短,○,3823,アクロディア
長期,,3834,朝日ネット
売短,○,3843,フリービット
売短,○,3854,アイル
売短,○,3856,リアルコム
長期,,3861,王子ホールディングス
長期,,3863,日本製紙
長期,,3864,三菱製紙
長期,,3865,北越紀州製紙
売短,○,3901,マークラインズ
売短,○,3911,Ａｉｍｉｎｇ
売短,,3919,パイプドＨＤ
長期,,3941,レンゴー
長期,,3946,トーモク
長期,,3950,ザ・パック
長期,,4004,昭和電工
長期,,4005,住友化学
長期,,4007,日本化成
長期,,4008,住友精化
長期,,4021,日産化学工業
長期,,4023,クレハ
長期,,4025,多木化学
長期,,4027,テイカ
長期,,4028,石原産業
長期,,4031,片倉コープアグリ
長期,,4033,日東エフシー
長期,,4041,日本曹達
長期,,4042,東ソー
長期,,4044,セントラル硝子
長期,,4045,東亞合成
長期,,4046,大阪ソーダ
長期,,4047,関東電化工業
長期,,4061,デンカ
長期,,4063,信越化学工業
長期,,4064,日本カーバイド工業
長期,,4078,堺化学工業
長期,,4088,エア・ウォーター
長期,,4091,大陽日酸
長期,,4092,日本化学工業
長期,,4095,日本パーカライジング
長期,,4097,高圧ガス工業
長期,,4099,四国化成工業
長期,○,4109,ステラ　ケミファ
長期,,4114,日本触媒
長期,,4116,大日精化工業
長期,,4118,カネカ
長期,,4151,協和発酵キリン
長期,,4182,三菱瓦斯化学
長期,,4183,三井化学
長期,,4185,ＪＳＲ
長期,,4186,東京応化工業
長期,,4187,大阪有機化学工業
長期,,4188,三菱ケミカルホールディングス
長期,,4201,日本合成化学工業
長期,,4202,ダイセル
長期,,4203,住友ベークライト
長期,,4204,積水化学工業
長期,,4205,日本ゼオン
長期,,4206,アイカ工業
長期,,4208,宇部興産
長期,,4212,積水樹脂
長期,,4215,タキロン
長期,,4216,旭有機材工業
長期,,4217,日立化成
長期,,4218,ニチバン
長期,,4220,リケンテクノス
長期,,4221,大倉工業
長期,,4228,積水化成品工業
長期,,4229,群栄化学工業
長期,,4231,タイガースポリマー
売短,○,4238,ミライアル
長期,○,4246,ダイキョーニシカワ
長期,,4272,日本化薬
長期,,4282,ＥＰＳホールディングス
売短,○,4284,ソルクシーズ
長期,,4286,レッグス
売短,○,4287,ジャストプランニング
長期,○,4295,フェイス
長期,,4299,ハイマックス
長期,,4301,アミューズ
長期,,4307,野村総合研究所
長期,,4318,クイック
長期,○,4320,ＣＥホールディングス
長期,,4321,ケネディクス
長期,,4324,電通
長期,,4326,インテージホールディングス
長期,○,4331,テイクアンドギヴ・ニーズ
長期,○,4333,東邦システムサイエンス
売短,○,4334,ユークス
売短,○,4343,イオンファンタジー
長期,,4344,ソースネクスト
長期,,4345,シーティーエス
長期,,4348,インフォコム
売短,,4351,山田債権回収管理総合事務所
売短,,4355,ロングライフホールディング
売短,,4358,ティー・ワイ・オー
長期,,4362,日本精化
長期,○,4368,扶桑化学工業
長期,,4401,ＡＤＥＫＡ
長期,,4403,日油
売短,,4404,ミヨシ油脂
長期,,4410,ハリマ化成グループ
長期,,4452,花王
長期,○,4465,ニイタカ
長期,,4471,三洋化成工業
長期,,4502,武田薬品工業
長期,,4503,アステラス製薬
長期,,4506,大日本住友製薬
長期,,4507,塩野義製薬
長期,,4508,田辺三菱製薬
長期,,4512,わかもと製薬
長期,,4514,あすか製薬
長期,,4516,日本新薬
長期,,4517,ビオフェルミン製薬
長期,,4519,中外製薬
長期,,4521,科研製薬
長期,,4523,エーザイ
長期,,4526,理研ビタミン
長期,,4527,ロート製薬
長期,,4528,小野薬品工業
長期,,4530,久光製薬
長期,,4531,有機合成薬品工業
長期,,4534,持田製薬
長期,,4536,参天製薬
長期,,4538,扶桑薬品工業
長期,○,4539,日本ケミファ
長期,,4540,ツムラ
長期,,4541,日医工
長期,,4543,テルモ
長期,,4544,みらかホールディングス
長期,,4547,キッセイ薬品工業
長期,,4548,生化学工業
長期,,4549,栄研化学
長期,,4550,日水製薬
長期,,4551,鳥居薬品
長期,,4552,ＪＣＲファーマ
長期,,4553,東和薬品
長期,,4554,富士製薬工業
長期,,4555,沢井製薬
長期,,4559,ゼリア新薬工業
長期,,4568,第一三共
長期,,4569,キョーリン製薬ホールディングス
売短,○,4572,カルナバイオサイエンス
売短,○,4575,キャンバス
売短,○,4576,デ・ウエスタン・セラピテクス研究所
長期,,4577,ダイト
長期,,4578,大塚ホールディングス
長期,,4581,大正製薬ホールディングス
売短,○,4586,メドレックス
売短,,4587,ペプチドリーム
売短,○,4592,サンバイオ
長期,,4611,大日本塗料
長期,,4612,日本ペイントホールディングス
長期,,4613,関西ペイント
長期,,4617,中国塗料
長期,,4619,日本特殊塗料
長期,,4620,藤倉化成
長期,,4626,太陽ホールディングス
長期,,4631,ＤＩＣ
長期,,4633,サカタインクス
長期,,4634,東洋インキＳＣホールディングス
長期,,4636,Ｔ＆Ｋ　ＴＯＫＡ
売短,,4641,アルプス技研
売短,○,4645,市進ホールディングス
長期,○,4653,ダイオーズ
売短,○,4657,環境管理センター
長期,,4661,オリエンタルランド
長期,,4665,ダスキン
長期,,4666,パーク２４
長期,,4668,明光ネットワークジャパン
長期,,4674,クレスコ
長期,,4676,フジ・メディア・ホールディングス
長期,,4680,ラウンドワン
長期,,4681,リゾートトラスト
長期,○,4684,オービック
長期,,4686,ジャストシステム
長期,,4689,ヤフー
長期,,4694,ビー・エム・エル
売短,○,4699,ウチダエスコ
長期,,4704,トレンドマイクロ
長期,,4708,りらいあコミュニケーションズ
長期,,4709,インフォメーション・ディベロプメント
売短,○,4714,リソー教育
長期,,4716,日本オラクル
長期,,4718,早稲田アカデミー
長期,,4719,アルファシステムズ
長期,,4722,フューチャーアーキテクト
長期,,4725,ＣＡＣ　Ｈｏｌｄｉｎｇｓ
長期,,4726,ソフトバンク・テクノロジー
長期,,4732,ユー・エス・エス
長期,○,4733,オービックビジネスコンサルタント
長期,,4739,伊藤忠テクノソリューションズ
長期,,4743,アイティフォー
売短,○,4748,構造計画研究所
長期,,4751,サイバーエージェント
長期,,4755,楽天
長期,○,4762,エックスネット
売短,○,4763,クリーク・アンド・リバー社
売短,○,4767,テー・オー・ダブリュー
長期,,4768,大塚商会
長期,,4775,総合メディカル
売短,○,4776,サイボウズ
売短,,4779,ソフトブレーン
売短,○,4784,ＧＭＯアドパートナーズ
長期,○,4801,セントラルスポーツ
長期,○,4809,パラカ
長期,,4812,電通国際情報サービス
売短,○,4813,ＡＣＣＥＳＳ
長期,,4819,デジタルガレージ
売短,○,4824,メディアシーク
長期,,4825,ウェザーニューズ
長期,,4826,ＣＩＪ
売短,,4829,日本エンタープライズ
長期,,4839,ＷＯＷＯＷ
売短,○,4840,トライアイズ
長期,○,4842,ＵＳＥＮ
売短,,4847,インテリジェント　ウェイブ
売短,,4848,フルキャストホールディングス
長期,,4901,富士フイルムホールディングス
長期,,4902,コニカミノルタ
長期,,4911,資生堂
長期,,4912,ライオン
長期,,4914,高砂香料工業
長期,,4917,マンダム
長期,,4919,ミルボン
長期,,4921,ファンケル
長期,,4922,コーセー
売短,,4924,シーズ・ホールディングス
長期,,4927,ポーラ・オルビスホールディングス
長期,,4928,ノエビアホールディングス
長期,,4955,アグロ　カネショウ
長期,,4956,コニシ
長期,,4958,長谷川香料
売短,,4963,星光ＰＭＣ
長期,○,4966,上村工業
長期,,4967,小林製薬
